C:\Data\Common\Simplified\armadillo2_10000.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
29952;3.96771842796488E-05;2.97626423835754;0.13551703048607333;0.616859;0.625197;1.593561638640362E-05;0.006655216217041016;1504560.204193787;0;0;
31056;3.51556429207208E-05;2.63160610198975;0.14375158286288015;0.594319;0.604684;1.216876783863089E-05;0.005808267742395401;1438572.4922585618;0;0;
32984;3.0567708659951E-05;2.30410599708557;0.1343272569514391;0.574637;0.593334;8.935052246412358E-06;0.005085129756480455;1344256.6794301353;0;0;
35376;2.51612721023901E-05;1.89034378528595;0.09271931251680732;0.533063;0.567321;6.233574006761874E-06;0.004200801718980074;1227340.9148638572;0;0;
38192;1.98240421522514E-05;1.4847594499588;0.08812162178159655;0.487375;0.537761;3.972673523624278E-06;0.0033467619214206934;1077793.4782526495;0;0;
42592;1.5144002958912E-05;1.13778269290924;0.04722713929866762;0.4394;0.499067;2.2535965198126397E-06;0.00248813652433455;870089.7669577195;0;0;
49384;9.98590926538591E-06;0.750158667564392;0.04736748622368436;0.370732;0.421272;1.0195193106591931E-06;0.001717475475743413;601470.329844157;0;0;
63112;4.96155696308979E-06;0.373249888420105;0.02531163839490347;0.271478;0.297527;2.4965857179684786E-07;0.000850486452691257;288854.1599977113;0;0;
