C:\Data\Common\Simplified\bunny2_2000.obj
bits;DAME;DAME -p;FMPD;MSDM;MSDM2;MSE;MaxErr;NUNC;Improvements;Time;
5848;0.000713651583458202;43.687915802002;0.5482972334125726;0.694005;0.588323;0.0003919556725778473;0.03361428901553154;279905.4758872595;0;0;
6232;0.000606767988481917;37.2363967895508;0.4518631503395203;0.660028;0.560584;0.0003059553760049348;0.029396148398518562;247555.51368099859;0;0;
6648;0.000567277320556074;34.6896514892578;0.4635694059667661;0.635784;0.540281;0.000223530952740782;0.025173114612698555;210564.8257696077;0;0;
7240;0.000470416170368916;28.7724800109863;0.24325291619083123;0.594653;0.498201;0.00015974974794296927;0.020574551075696945;174062.1650660569;0;0;
7904;0.000350384839098003;21.4203300476074;0.24375835583871153;0.539153;0.455908;0.00010027708420330769;0.016303643584251404;134133.46031650106;0;0;
9112;0.000274876361905186;16.8240776062012;0.1422200901635633;0.465216;0.400447;5.674251693803259E-05;0.012500756420195103;96608.16021729771;0;0;
10680;0.000173465115687798;10.6464004516602;0.10012585806992913;0.395126;0.339127;2.4985626196469805E-05;0.008139187470078468;62129.391939491165;0;0;
13656;8.72659370211183E-05;5.35381555557251;0.01983328015860142;0.24218;0.212052;6.282549359070601E-06;0.003980024717748165;30204.89409709187;0;0;
